出版產業樣貌,,,,,
,,,,,
說明: 各類書店包含單一／獨立書店、連鎖書店（總公司）、網路書店（狹義）以及二手書店,,,,,
T,C,C,R,R,R
,,,家,人,新臺幣
,,,,,8
年,主產業,次產業,營利事業家數,就業人數,產值
104,圖書、漫畫出版,,793,33355,245.64
104,雜誌出版,,,,
104,數位出版,數位平臺,27,,6.11
104,出版行銷通路,各類書店,911,,275.67
105,圖書、漫畫出版,,517,32656,238.91
105,雜誌出版,,295,,144.99
105,數位出版,數位平臺,16,,5.5
105,出版行銷通路,各類書店,575,,237.18
106,圖書、漫畫出版,,554,31729,244.89
106,雜誌出版,,,,
106,數位出版,數位平臺,6,,12.6
106,出版行銷通路,單一／獨立書店,570,,225.98
107,圖書、漫畫出版,,547,37113,234.04
107,雜誌出版,,232,,129.14
107,數位出版,數位平臺,6,,14.83
107,出版行銷通路,單一／獨立書店,596,,214.44
108,圖書、漫畫出版,,555,13832,224.79
108,雜誌出版,,238,7283,124.08
108,原創圖像：插畫經紀,,19,144,1.33
108,數位出版,數位平臺,20,1399,25.98
108,數位出版,數位創作內容付費平臺,10,,
108,數位出版,數位創作內容募資平臺,7,,
108,出版行銷通路,單一／獨立書店,658,15831,200.4
108,出版行銷通路,經銷發行,46,,
108,出版行銷通路,漫畫小說出租店,460,,
